代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	最高	
00700	腾讯控股	-0.73	7584356864	461.800	462.000	16287008	1023600	-0.17	          0.17	  0.71	465.000	470.400	
02318	中国平安	2.06	6037254656	91.500	91.550	66239580	2885000	-0.11	          0.89	  1.33	88.850	92.150	
00388	香港交易所	-1.77	2864676096	277.000	277.200	10276314	666500	-0.29	          0.83	  1.41	281.000	281.800	
00939	建设银行	0.12	2347855616	8.510	8.520	275872384	13452000	-0.12	          0.11	  0.63	8.500	8.580	
00006	电能实业	-2.04	1768128896	69.750	69.800	25207932	414500	-0.21	          1.18	  2.96	71.250	71.300	
00175	吉利汽车	1.70	1426063488	26.900	26.950	52800720	1132000	-0.19	          0.59	  1.22	26.500	27.350	
01299	友邦保险	1.27	1333357696	68.000	68.050	19682682	1540800	0.00	          0.16	  1.02	67.150	68.100	
03988	中国银行	-0.68	1257833728	4.370	4.380	287498688	17020000	-0.23	          0.34	  0.69	4.360	4.400	
02382	舜宇光学科技	2.01	1090424192	147.100	147.200	7411451	329200	0.14	          0.68	  0.98	143.000	149.000	
01398	工商银行	-0.14	1047435392	6.910	6.920	151659376	6303000	0.14	          0.17	  0.50	6.870	6.950	
02007	碧桂园	-2.17	987252288	16.200	16.220	60677748	891000	-0.25	          0.28	  0.73	16.660	16.700	
00005	汇丰控股	0.26	856528128	77.150	77.200	11098284	761600	-0.06	          0.05	  0.49	76.500	77.450	
01288	农业银行	-1.92	815641472	4.590	4.600	177146672	10101000	0.00	          0.58	  0.45	4.630	4.650	
00941	中国移动	0.55	772281536	72.650	72.700	10643026	1077000	0.07	          0.05	  0.67	71.700	72.950	
02601	中国太保	0.99	760606976	40.850	40.900	18626120	972800	-0.24	          0.67	  1.05	40.100	41.400	
00027	银河娱乐	2.44	697314496	71.450	71.500	9795185	1178000	0.14	          0.23	  1.17	69.500	71.700	
00001	长和	-1.87	691971328	97.000	97.050	7114665	406500	0.15	          0.18	  1.05	97.900	98.250	
00386	中国石油化工股份	0.77	639649536	6.510	6.520	98061256	5998000	-0.31	          0.38	  1.07	6.500	6.600	
00268	金蝶国际	4.23	576981440	7.390	7.400	79554184	1048000	0.27	          2.74	  1.04	7.150	7.450	
03968	招商银行	1.48	565554624	34.350	34.400	16499602	1423000	-0.29	          0.36	  0.86	33.900	34.600	
01093	石药集团	0.75	562811776	20.150	20.200	27788516	696000	-0.25	          0.45	  0.98	20.300	20.650	
00883	中国海洋石油	1.07	536184800	11.340	11.360	47443104	3689000	-0.18	          0.11	  0.77	11.220	11.440	
02628	中国人寿	0.22	530661536	23.100	23.150	22956064	1596000	0.22	          0.31	  0.70	23.050	23.300	
01918	融创中国	-4.59	524031040	30.150	30.200	17059116	480000	-0.17	          0.39	  0.85	31.800	32.150	
01548	金斯瑞生物科技	-4.57	506192864	26.100	26.150	18962408	1192000	-1.14	          1.09	  0.47	26.700	27.900	
01113	长实集团	-0.57	501961568	69.500	69.600	7270490	322500	0.14	          0.20	  1.52	68.500	69.750	
00914	海螺水泥	-2.25	459626496	43.400	43.450	10627801	504500	0.12	          0.82	  0.94	44.400	44.500	
01336	新华保险	-1.52	425131296	45.300	45.350	9344695	124600	-0.11	          0.90	  1.56	46.000	46.200	
03993	洛阳钼业	0.45	415073760	6.670	6.680	62212600	429000	-0.30	          1.58	  0.61	6.640	6.800	
01038	长江基建集团	-1.49	409327392	65.850	65.900	6195636	142000	0.08	          0.23	  1.80	66.750	66.900	
01088	中国神华	-2.99	408240384	21.100	21.150	19176660	662500	0.00	          0.56	  1.20	21.500	21.650	
01171	兖州煤业股份	-4.21	393782944	10.020	10.040	38639620	600000	-0.40	          1.98	  1.71	10.460	10.600	
01928	金沙中国有限公司	1.23	389666464	45.100	45.150	8655456	660400	-0.11	          0.11	  0.75	44.300	45.400	
02018	瑞声科技	-1.36	379440416	152.200	152.300	2488076	119500	0.07	          0.20	  0.67	152.000	154.700	
02319	蒙牛乳业	-1.00	343155776	24.800	24.850	13928628	436000	0.00	          0.35	  1.04	25.050	25.050	
00016	新鸿基地产	-0.39	332690016	129.200	129.300	2578161	341000	0.08	          0.09	  0.91	129.000	129.800	
02202	万科企业	-3.33	318565824	33.350	33.400	9511650	302900	0.30	          0.72	  1.48	34.500	34.500	
03333	中国恒大	-2.69	310573280	25.300	25.350	12150910	776000	-0.39	          0.09	  0.53	25.850	26.100	
01109	华润置地	-1.22	308366976	28.300	28.350	10947926	488000	0.18	          0.16	  1.12	28.450	28.600	
02269	药明生物	1.71	305279712	70.950	71.200	4283877	64500	0.85	          0.37	  1.43	70.600	73.500	
02777	富力地产	1.20	304306464	20.200	20.250	14954061	801600	-0.25	          1.47	  1.41	20.150	20.900	
03323	中国建材	-1.91	297691904	8.220	8.240	35926096	1252000	-0.36	          1.25	  0.69	8.500	8.500	
03799	达利食品	-8.09	290226528	6.930	6.940	41551764	959000	0.43	          0.30	  3.16	7.500	7.500	
01128	永利澳门	1.56	285823392	29.150	29.250	9734588	300000	0.69	          0.19	  1.31	28.450	29.800	
00857	中国石油股份	0.38	276006944	5.330	5.340	51558384	2730000	0.00	          0.24	  0.65	5.320	5.410	
02328	中国财险	-1.46	275169472	16.220	16.240	16868680	1084000	0.12	          0.37	  0.82	16.460	16.560	
00998	中信银行	-0.36	272042720	5.530	5.540	48841440	2905000	-0.18	          0.33	  0.93	5.550	5.630	
00762	中国联通	0.72	265293552	9.740	9.750	27127924	2340000	-0.20	          0.09	  0.63	9.660	9.840	
03888	金山软件	-0.68	264718704	29.100	29.150	9140168	170000	0.00	          0.67	  0.80	29.350	29.650	
02689	玖龙纸业	-3.03	253633440	12.820	12.840	19625800	478000	-0.31	          0.42	  1.33	13.300	13.300	
00813	世茂房地产	-5.17	251466224	22.000	22.050	11193180	636000	-0.45	          0.33	  1.35	23.400	23.400	
01177	中国生物制药	1.57	250771904	15.500	15.520	16187446	384000	0.13	          0.19	  0.79	15.240	15.700	
01658	邮储银行	1.40	249019584	5.070	5.080	49031776	2245000	0.00	          0.25	  1.77	5.000	5.150	
00763	中兴通讯	1.61	243514048	28.400	28.450	8546896	244000	0.18	          1.13	  0.82	28.000	28.800	
01705	宾仕国际	-16.71	240417840	--  	--  	68161264	16000	-1.18	         17.04	  0.26	3.850	3.970	
01099	国药控股	1.10	236557488	36.850	36.900	6440567	186400	0.00	          0.54	  1.40	36.050	37.150	
00884	旭辉控股集团	0.27	228728112	7.500	7.530	30592290	1400000	0.40	          0.40	  0.60	7.600	7.650	
00004	九龙仓集团	0.54	225077184	27.900	27.950	8084554	450000	-0.36	          0.27	  0.64	27.850	28.050	
02238	广汽集团	-2.26	224439696	17.300	17.320	12907849	744000	0.00	          0.58	  1.23	17.780	17.780	
01478	丘钛科技	6.10	223267648	11.820	11.840	18985000	123000	0.34	          1.70	  5.76	11.160	12.100	
02899	紫金矿业	-2.33	215697104	3.770	3.780	57479248	198000	0.00	          1.00	  1.05	3.840	3.850	
01055	中国南方航空股份	-2.56	215027184	9.900	9.920	21585280	636000	0.51	          0.70	  0.84	10.000	10.080	
00772	阅文集团	-0.49	214862896	82.000	82.050	2599203	42800	-0.06	          0.29	  0.95	82.800	83.950	
00753	中国国航	-4.77	214705840	11.180	11.200	18987904	170000	0.18	          0.42	  1.12	11.600	11.700	
01114	BRILLIANCE CHI	0.42	213043488	19.240	19.260	11075047	424000	-0.21	          0.22	  0.80	19.120	19.380	
03800	保利协鑫能源	-3.51	206813072	1.100	1.110	186419136	2676000	0.00	          1.00	  1.32	1.150	1.150	
02799	中国华融	-3.22	198836496	3.610	3.620	54589488	1635000	-0.55	          0.22	  2.18	3.730	3.740	
00966	中国太平	0.99	198075872	30.700	30.750	6461456	278800	-0.32	          0.18	  0.89	30.500	30.950	
01316	耐世特	3.10	186831408	13.300	13.320	14047346	519000	0.30	          0.56	  0.60	13.040	13.480	
00688	中国海外发展	-1.07	184210704	27.750	27.800	6633734	300000	0.00	          0.06	  0.56	27.750	27.950	
02388	中银香港	-0.63	183958640	39.450	39.500	4660268	617000	-0.25	          0.04	  0.62	39.450	39.650	
01813	合景泰富	-3.38	182754160	12.580	12.600	14309070	231000	0.16	          0.45	  1.56	12.900	13.080	
00836	华润电力	1.01	180947664	14.040	14.060	12944738	582000	0.14	          0.27	  1.60	14.000	14.300	
01966	中骏置业	0.43	180620928	4.620	4.630	38233800	1292000	-0.65	          1.00	  0.94	4.670	4.860	
02331	李宁	0.24	177362464	8.480	8.490	20671542	212500	0.12	          0.95	  0.96	8.460	8.730	
01359	中国信达	0.34	176727376	2.910	2.920	60468440	4852000	0.00	          0.45	  1.07	2.920	2.940	
00002	中电控股	0.13	176643488	79.550	79.650	2222271	291000	0.06	          0.09	  0.72	79.500	79.750	
06030	中信证券	-0.65	174939568	18.320	18.340	9545628	635000	0.11	          0.42	  0.50	18.460	18.540	
00017	新世界发展	-1.35	174812448	11.700	11.720	14930668	1722000	0.34	          0.15	  1.08	11.860	11.860	
01988	民生银行	-0.37	169923664	7.980	7.990	21233418	1271000	-0.13	          0.31	  0.82	8.020	8.070	
00012	恒基地产	1.05	168848864	52.950	53.000	3201531	177000	0.38	          0.08	  1.57	52.450	53.100	
06036	光丽科技	-20.00	167336656	--  	--  	221995008	100000	1.41	         22.20	  0.19	0.930	0.940	
